,fold_id,model_name,set,accuracy,precision,recall,f1,auc
0,0,BernoulliNB,train,0.9156626506024096,0.9,0.908256880733945,0.9041095890410958,0.9328309305373526
1,0,BernoulliNB,test,0.888,0.8333333333333334,0.8695652173913043,0.851063829787234,0.9045129334067145
2,1,BernoulliNB,train,0.9116465863453815,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9256902356902357
3,1,BernoulliNB,test,0.896,0.8909090909090909,0.875,0.8828828828828829,0.9187370600414079
4,2,BernoulliNB,train,0.896,0.8653846153846154,0.8823529411764706,0.8737864077669903,0.9127914679385266
5,2,BernoulliNB,test,0.9274193548387096,0.9074074074074074,0.9245283018867925,0.9158878504672898,0.9410045176720702
6,3,BernoulliNB,train,0.9036144578313253,0.89,0.8725490196078431,0.8811881188118812,0.9179338402027478
7,3,BernoulliNB,test,0.912,0.8620689655172413,0.9433962264150944,0.9009009009009009,0.9304245283018868
8,4,BernoulliNB,train,0.9036144578313253,0.883495145631068,0.883495145631068,0.883495145631068,0.9281486899853704
9,4,BernoulliNB,test,0.912,0.9019607843137255,0.8846153846153846,0.8932038834951457,0.9164910432033719
10,5,BernoulliNB,train,0.916,0.8888888888888888,0.9142857142857143,0.9014084507042254,0.924367816091954
11,5,BernoulliNB,test,0.8951612903225806,0.8775510204081632,0.86,0.8686868686868686,0.917972972972973
12,6,BernoulliNB,train,0.9116465863453815,0.9019607843137255,0.8846153846153846,0.8932038834951457,0.9269230769230768
13,6,BernoulliNB,test,0.896,0.8392857142857143,0.9215686274509803,0.8785046728971961,0.9177265500794913
14,7,BernoulliNB,train,0.9076305220883534,0.8653846153846154,0.9090909090909091,0.8866995073891625,0.9230639730639731
15,7,BernoulliNB,test,0.904,0.94,0.8392857142857143,0.8867924528301886,0.9267598343685302
16,8,BernoulliNB,train,0.912,0.897196261682243,0.897196261682243,0.897196261682243,0.9213450101300569
17,8,BernoulliNB,test,0.9032258064516129,0.86,0.8958333333333334,0.8775510204081632,0.9258497807017545
18,9,BernoulliNB,train,0.9116465863453815,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.9370926984971406
19,9,BernoulliNB,test,0.904,0.8703703703703703,0.9038461538461539,0.8867924528301887,0.8971285563751317
20,10,BernoulliNB,train,0.8995983935742972,0.8627450980392157,0.8888888888888888,0.8756218905472637,0.9207744107744108
21,10,BernoulliNB,test,0.92,0.9423076923076923,0.875,0.9074074074074073,0.9359472049689441
22,11,BernoulliNB,train,0.912,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.9197639540949399
23,11,BernoulliNB,test,0.8951612903225806,0.84,0.8936170212765957,0.8659793814432989,0.9302293451229621
